dow,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,45.64715846768889,46.23784830211201,46.572988666100194,46.44279024199986,46.42392746350471,46.26018498104186,47.096002308681356,54.54477375875776,62.6928299783901,67.81869113420356,70.66330294856958,72.12224214095514,72.9142201730582,73.16618250273012,73.26624785498362,72.85735621470153,71.82592759175182,69.64703594377305,63.832847124185434,55.231381815389135,50.11464644408672,47.87643243977556,47.148407043868296,45.87403306648966
1,45.82200777218953,46.009168272545836,46.094021657919605,46.16252856363548,46.12383275942736,46.18268892593708,47.304202003732264,54.92216255216265,64.86727613205078,70.25891763894263,72.94269221780488,74.2892462364797,74.88704795735136,75.37010072642352,75.39611174272108,74.79009891086841,73.93073335117217,71.44320119561043,64.96320673927201,55.929808340882566,50.38963473122461,48.14973989145009,46.30541075485462,45.45386905423588
2,45.33994985363798,45.28297633470511,45.178734648071945,45.16163494645029,44.9061254752697,45.173442119157706,45.7761729037293,54.107600936653284,63.69765428199183,69.38114661087342,72.29711950583835,73.75276820750366,74.469370062542,74.77385519825579,74.62126275408953,74.0191190802819,73.12652674509123,70.81441870178378,64.621421860692,55.63297245571743,50.20815670575449,47.68096857352065,45.91430593444127,44.65025730148031
3,44.735614034640264,45.189590002612825,45.22027747574397,45.36929103814154,45.40050220039905,45.28514995255246,45.675011668660495,53.46853639875333,63.16908098473917,68.36996185633262,71.15443053140454,72.56935830591131,73.31422681535787,73.83473951059759,73.89481138354488,73.2607166994808,72.13508078530707,69.90623630030059,63.74853846430244,55.381843003333735,50.178784008715525,47.54554680437731,45.802352720798126,44.372126816441295
4,44.394980169046356,44.70679639632739,44.81597704028769,44.93596307333625,45.16784122346512,45.054739698244205,45.23150554045027,52.0678037987891,61.216131434933516,66.22407073956255,68.08306364861826,69.71092943563328,70.63946418017164,71.43627411753126,70.70730826837735,69.69105268111257,67.49398304528451,63.14522975560621,56.776815957910195,52.644650202307545,49.94677797841615,48.066721574125445,47.61451220534881,44.859567743519726
5,45.04824359715742,45.11302319855052,45.35108097026499,45.60564866759195,45.312939672063706,45.31171998674101,44.79151734104125,44.67374625557067,44.77285158269836,45.66552287684969,47.63415028637448,48.672317527584255,50.725142056521904,52.02651242132737,52.517988713882545,53.05513268895068,53.04327465844024,52.51970454312802,51.86250846482062,51.53315576130862,50.13891143815064,48.434248466945824,47.59180191830327,46.578860997342126
6,45.54778105410763,45.8579899292548,45.71450862128655,45.86960401242533,46.11042412785697,46.03715605252931,45.933689259849345,45.35387639665416,45.29171851513654,45.90906388398164,47.08410785306063,48.29056250814449,50.03454069442682,51.32290566426989,51.933247865344704,52.203340478827144,52.16292868358807,52.06751553340097,51.27150109186381,50.97455951083153,49.99599006625535,48.43505976876045,47.12431091139393,46.430059612803504
